City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,artigas,-30.4,-56.4667,15.37,92,100,2.1,UY,1731361541
293,tuy hoa,13.0833,109.3,23.47,88,98,2.14,VN,1731361033
294,coffeyville,37.0373,-95.6164,22.03,40,0,2.06,US,1731361475
295,new plymouth,-39.0667,174.0833,16.29,100,2,2.66,NZ,1731361545
296,shubarshi,48.5872,57.1869,-4.01,63,73,3.57,KZ,1731361546
297,al wajh,26.2455,36.4525,23.97,50,0,1.54,SA,1731361547
298,asahi,35.7167,140.65,8.21,68,1,1.48,JP,1731361548
299,selfoss,63.9331,-20.9971,10.58,98,100,8.27,IS,1731361550
300,isangel,-19.55,169.2667,26.06,89,75,2.57,VU,1731361551
301,sandnessjoen,66.0217,12.6316,7.06,93,75,5.14,NO,1731361552
302,dhekiajuli,26.7,92.5,17.48,89,0,2.39,IN,1731361553
303,tchintabaraden,15.8969,5.7985,23.39,15,0,4.24,NE,1731361555
304,saipan,15.1355,145.701,26.47,91,40,2.06,MP,1731361556
305,port augusta,-32.5,137.7667,21.01,70,0,0.9,AU,1731361557
306,kamphaeng phet,16.25,99.5,21.67,92,9,1.55,TH,1731361558
307,papao,-17.75,-149.55,27.82,88,100,7.5,PF,1731361560
308,porto seguro,-16.4497,-39.0647,25.29,83,40,2.06,BR,1731361561
309,kiunga,-6.1219,141.2906,24.03,97,100,0.19,PG,1731361562
310,narok,-1.0783,35.8601,13.92,92,81,1.99,KE,1731361157
311,nagqu,31.5,92.0,-5.32,48,66,1.21,CN,1731361566
312,sisimiut,66.9395,-53.6735,-6.28,90,99,2.76,GL,1731361567
313,colonia,50.9333,6.95,9.51,91,100,4.12,DE,1731361569
314,sovetskaya gavan',48.9723,140.2878,-2.89,79,100,2.06,RU,1731361570
315,qarah zia' od din,38.8915,45.0255,7.57,68,71,1.99,IR,1731361571
316,zhigalovo,54.8097,105.1578,-6.44,77,66,0.94,RU,1731361572
317,madang,-5.2246,145.7966,24.23,95,100,2.26,PG,1731361574
318,itacare,-14.2775,-38.9967,23.41,92,88,2.12,BR,1731361575
319,melekeok village,7.4957,134.6367,25.31,88,75,0.0,PW,1731361576
320,port-louis,-20.1619,57.4989,24.67,91,53,6.2,MU,1731361450
321,revda,56.801,59.9303,-9.19,94,100,4.0,RU,1731361579
322,sao felix do xingu,-6.6447,-51.995,22.11,99,100,1.07,BR,1731361580
323,afaahiti,-17.75,-149.2833,23.4,84,100,6.69,PF,1731361581
324,durban,-29.8579,31.0292,19.51,89,100,2.43,ZA,1731361499
